,종목코드,종목명,fullCode
453,A009470,삼화전기,KR7009470006
454,A009520,포스코엠텍,KR7009520008
455,A009540,HD한국조선해양,KR7009540006
456,A009580,무림P&P,KR7009580002
457,A009620,삼보산업,KR7009620006
458,A009680,모토닉,KR7009680000
459,A009730,코센,KR7009730003
460,A009770,삼정펄프,KR7009770009
461,A009780,엠에스씨,KR7009780008
462,A009810,플레이그램,KR7009810003
463,A009830,한화솔루션,KR7009830001
464,A009835,한화솔루션우,KR7009831009
465,A009900,명신산업,KR7009900002
466,A009970,영원무역홀딩스,KR7009970005
467,A010040,한국내화,KR7010040004
468,A010050,우리종금,KR7010050003
469,A010060,OCI홀딩스,KR7010060002
470,A010090,이마트에브리데이,KR7010090009
471,A010100,한국무브넥스,KR7010100006
472,A010120,LS ELECTRIC,KR7010120004
473,A010130,고려아연,KR7010130003
474,A010140,삼성중공업,KR7010140002
475,A010145,삼성중공우,KR7010141000
476,A010170,대한광통신,KR7010170009
477,A010240,흥국,KR7010240000
478,A010280,쌍용정보통신,KR7010280006
479,A010400,우진아이엔에스,KR7010400000
480,A010420,한솔PNS,KR7010420008
481,A010470,오리콤,KR7010470003
482,A010580,에스엠벡셀,KR7010580009
483,A010600,웰바이오텍,KR7010600005
484,A010620,현대미포조선,KR7010620003
485,A010640,진양폴리,KR7010640001
486,A010660,화천기계,KR7010660009
487,A010690,화신,KR7010690006
488,A010770,평화홀딩스,KR7010770006
489,A010780,아이에스동서,KR7010780005
490,A010820,퍼스텍,KR7010820009
491,A010950,S-Oil,KR7010950004
492,A010955,S-Oil우,KR7010951002
493,A010960,삼호개발,KR7010960003
494,A011000,진원생명과학,KR7011000007
495,A011040,경동제약,KR7011040003
496,A011070,LG이노텍,KR7011070000
497,A011080,형지I&C,KR7011080009
498,A011090,에넥스,KR7011090008
499,A011150,CJ씨푸드,KR7011150000
500,A011155,CJ씨푸드1우,KR7011151008
501,A011170,롯데케미칼,KR7011170008
502,A011200,HMM,KR7011200003
503,A011210,현대위아,KR7011210002
504,A011230,삼화전자,KR7011230000
505,A011280,태림포장,KR7011280005
506,A011300,성안,KR7011300001
507,A011320,유니크,KR7011320009
508,A011330,유니켐,KR7011330008
509,A011370,서한,KR7011370004
510,A011390,부산산업,KR7011390002
511,A011400,아진카인텍,KR7011400009
512,A011420,갤럭시아에스엠,KR7011420007
513,A011500,한농화성,KR7011500006
514,A011560,세보엠이씨,KR7011560000
515,A011690,와이투솔루션,KR7011690005
516,A011700,한신기계,KR7011700002
517,A011760,현대코퍼레이션,KR7011760006
518,A011780,금호석유,KR7011780004
519,A011785,금호석유우,KR7011781002
520,A011790,SKC,KR7011790003
521,A011810,STX,KR7011810009
522,A011870,엘티삼보,KR7011870003
523,A011930,신성이엔지,KR7011930005
524,A012030,DB,KR7012030003
525,A012160,영흥,KR7012160008
526,A012170,아센디오,KR7012170007
527,A012200,계양전기,KR7012200002
528,A012205,계양전기우,KR7012201000
529,A012210,삼미금속,KR7012210001
530,A012280,영화금속,KR7012280004
531,A012320,경동인베스트,KR7012320008
532,A012330,현대모비스,KR7012330007
533,A012340,뉴인텍,KR7012340006
534,A012350,대동모빌리티,KR7012350005
535,A01235K,대동모빌리티1우,KR701235K011
536,A01235L,대동모빌리티2우,KR701235K029
537,A01235M,대동모빌리티3우,KR701235K037
538,A01235N,대동모빌리티4우,KR701235K045
539,A012450,한화에어로스페이스,KR7012450003
540,A012510,더존비즈온,KR7012510004
541,A012580,신세계톰보이,KR7012580007
542,A012600,청호ICT,KR7012600003
543,A012610,경인양행,KR7012610002
544,A012620,원일특강,KR7012620001
545,A012630,HDC,KR7012630000
546,A012670,환영철강공업,KR7012670006
547,A012690,모나리자,KR7012690004
548,A012700,리드코프,KR7012700001
